Year,Year_OCD,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,BpRes,BpExld,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:Ret/Sk/Abs,DPr:ForMs,RPrResDio,RPr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,Non-ResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,Sem:D,StdntDio,StdntOthDio,"Students of dioc in other seminaries(Seminaries, Diocesan)",Sem:R,Sem:StdntR,Sem:StdnDio,Sem:StdntOthDio,TotSemnr,Coll/Univ,M:Coll/Univ,W:Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:Boys,HS:D/Prsh:Girls,HS:D/Prsh:TotStdnt,HS:Prvt,B:HS:Prvt,G:HS:Prvt,HS:Prvt:TotStdnt,"Elementary Schools, Parochial","Total Students(Elementary Schools, Parochial)",ElSch:Prvt,B:ElSch:Prvt,G:ElSch:Prvt,ElSch:Prvt:TotStdnt,PrtctvInst,PrtctvInst:TotStdnt,Public School Pupils in Special religious Instruction Classes,High School Students(Public School Pupils),Elementary Students(Public School Pupils),RE:TotStdnt,"Priests, Teaching (full time)",Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Paid Lay teachers,Total teachers in diocese,Hsp,Hsp:Bedcap,Hsp:Inpat:anual,Hsp:Outpat:anual,Total Patients(General Hospitals),SpecHsp:Sanat,SpecHsp:Sanat:Bed capacity,SpecHsp:Sanat:Inpat:anual,SpecHsp:Sanat:Outpat:anual,SpecHsp:Sanat:Totpat,Schools for nurses,Student nurses(Schools for nurses),Home for Dependent Children,Resident Boys(Home for Dependent Children),Resident Girls(Home for Dependent Children),Children in Foster Homes(Home for Dependent Children),Total Dependent Children(Home for Dependent Children),Homes for invalid and aged,Guests(Homes for invalid and aged),InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1985,1986,Sacramento,,,,,1,1,,,,1,1,140,8,32,4,75,4,180,79,259,,,50,54,3,292,2,94,93,1,43,13,72,62,10,,,,30,2,11,,,41,,,,,5,424,1509,1933,3,1438,326,1764,43,10667,,,,,,,,3185,13423,31013,10,3,19,95,670,797,6,906,37166,162562,199728,1,50,50,,50,,,2,39,52,,91,2,148,6447,590,7037,1041,726,1767,2513,289147,2244776
1985,1986,Saginaw,,,,,1,,,,1,,,110,4,29,2,26,8,143,34,177,5,,26,3,2,206,,105,104,1,11,,1,1,,,,,6,,,,,6,,,,,3,501,493,994,,,,,34,5539,1,50,50,100,,,,5613,12717,24969,,,,45,292,337,1,238,10105,40376,50481,,,,,,,,1,24,12,,36,1,100,2834,366,3200,778,481,1259,1432,158125,713420
1985,1986,Salina,,,,,1,,,,,,,58,2,10,,28,8,70,36,106,,,,5,2,306,5,98,59,39,,2,20,5,15,,,,4,1,12,,,16,1,312,312,624,5,268,251,519,1,222,151,373,12,1956,,,,,,,,2304,6455,12247,9,1,1,40,177,228,4,555,12363,91917,104280,,,,,,,95,1,18,52,,70,4,259,1382,263,1645,302,282,584,575,56846,348953
1985,1986,Salt Lake City,,,,,1,,,,1,1,,41,8,7,1,55,,56,55,111,3,,28,20,,126,,43,42,1,14,16,33,5,28,,,,8,,5,,,13,,,,,2,529,561,1090,,,,,8,2123,,,,,,,,1359,5525,10110,8,,1,26,124,159,3,513,27207,223925,251132,,,,,,,,,,,,,1,154,1801,285,2086,232,231,463,479,64772,1643000
1985,1986,San Angelo,,,,,1,,,,,,,37,5,16,,30,,58,30,88,3,,52,,,42,,48,46,2,25,1,1,1,,,,,9,,,,,9,,,,,,,,,,,,,3,589,,,,,,,,3092,9955,13645,,,,5,35,40,1,171,6081,17814,23895,,,,,,,,,,,,,,,2877,167,3044,328,124,452,781,75628,604958
1985,1986,San Antonio,,,1,,,1,,,1,,,130,12,19,2,240,8,161,248,409,11,,124,135,1,1203,10,135,133,2,40,3,205,10,195,1,10,30,7,2,60,,,77,4,2628,3799,6427,3,479,144,623,7,956,1542,2498,26,10371,9,1006,1203,2209,,,,9115,35332,66652,11,,28,184,644,867,3,1163,29246,76586,105832,,,,,,1,112,1,16,24,,40,4,275,14847,502,15349,2162,776,2938,3401,566805,1180510
1985,1986,San Bernardino,,,,,1,,,,1,,,110,3,35,1,72,,148,72,220,24,1,48,16,,195,,89,86,3,6,,,,,,,,18,,,,,18,,,,,2,599,615,1214,,,,,32,8021,,,,,,,,4352,15962,29567,3,,1,88,396,488,2,404,19551,124864,144415,,,,,,,,,,,,,,,9538,654,10192,1232,477,1709,2222,318672,1814628
1985,1986,San Diego,,,,,1,1,,,,1,,192,21,47,2,88,12,260,100,360,35,,64,22,3,488,7,98,98,,13,9,29,3,26,1,17,,14,,,,,31,1,2612,2653,5265,3,993,1093,2086,2,602,553,1155,43,12140,1,235,110,345,,,,4967,23043,49032,19,,1,154,1613,1787,1,523,20151,118754,138905,,,,,,1,130,1,45,35,,80,5,630,9812,786,10598,1782,779,2561,2342,381747,2257800
1985,1986,San Francisco,,,1,,,1,,,1,,,179,15,45,3,264,33,239,297,536,36,2,13,40,7,1071,41,103,103,,10,11,73,22,51,1,17,66,10,1,7,,,34,3,3035,4005,7040,7,3157,1304,4461,11,1380,3704,5084,63,19963,7,727,840,1567,,,,2919,12986,54054,107,6,24,219,1287,1643,3,1017,12573,239666,252239,,,,,,,,5,130,49,,179,6,869,7492,503,7995,1824,761,2585,3754,375000,1548600
1985,1986,San Jose,,,,,1,,,,,,,124,5,10,,264,10,139,274,413,24,,18,72,1,488,3,49,49,,2,4,16,5,11,1,12,92,9,1,2,,,23,2,4420,3204,7624,2,677,624,1301,4,1926,1638,3564,29,8635,,,,,,,,2557,12226,35930,66,3,15,68,796,948,2,599,85615,85176,170791,2,137,110,925,1035,,,,,,,,2,161,7640,534,8174,1315,585,1900,1824,324135,1380100
