Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2000,2001,12/3/1983,St. Josaphat in Parma,,0,,,1,0,,,,31,1,,8,40,1,8,1,,,,7,10,10,38,31,1,6,0,0,,,,0,3,,0,0,,2,,,,,,2,146,0,0,,,,,,,,,,,0,0,0,4,0,7,,,,,,,,2,307,,,,,65,575,951,,,,2,29,112,6,4,99,121,57,5,62,240,11299,
2000,2001,,St. Louis,,0,1,,,2,1,1,1,333,18,7,98,456,681,13,6,2,,15,225,157,2106,228,195,26,7,0,0,,,,0,8,,0,2,,,,10,1180000,,,34,30000,9,1200,16,1700,17,4000,35,124043,,,,,2,43,60,,5,55,98,2,13172,14,6649,15,9052,139,41469,8,1842,9,328,970,24327,97907,39,1,12,174,3569,6940,1568,8559,8454,7908,1717,945,2662,4413,555621,2089000
2000,2001,1/10/1966,"St. Maron, Brooklyn",,0,,1,1,0,,,,45,6,,14,65,12,,,,1,1,13,7,2,33,31,1,1,0,0,,,,0,4,,0,0,,,,,,,,,,0,0,,,,,,,,,,,1,1,,2,0,0,3,,,,,,,,,,,,,299,1503,1805,,,,,,447,20,13,286,280,107,33,140,216,30000,
2000,2001,1/1/1961,St. Nicholas Chicago Ukrainian,,0,,,1,0,1,1,1,16,3,,7,26,13,19,,,1,2,12,2,4,37,23,3,9,2,0,,,,0,7,,1,0,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,3,0,0,3,,,1,82,,,2,380,,,,,150,310,925,,,,4,52,244,10,4,230,260,56,18,74,240,10000,
2000,2001,,St. Paul and Minneapolis,,0,1,1,,2,1,,,226,11,3,103,343,160,42,8,,12,12,173,52,1090,222,177,29,15,1,0,,,,0,5,4,0,0,1,70,620,3,94685,,,4,1025,1,4100,,,4,,5,,,,,,2,69,111,,0,0,69,3,17305,10,7228,2,429,91,28017,1,264,,,,65422,118734,33,,14,57,2031,11202,480,1702,10869,7887,2372,1318,3690,4967,769135,2831931
2000,2001,6/17/1968,St. Petersburg,,0,,,1,0,2,,,92,4,,35,131,134,117,2,1,,,93,50,341,73,61,12,2,0,0,,,,0,4,1,0,0,,,,2,182875,7,35000,8,874,5,11000,14,1500,3,1225,10,15000,,,,,0,0,0,19,0,0,19,1,2708,3,2110,2,960,29,11200,4,1190,2,145,2400,19000,39732,11,2,5,60,841,4869,741,623,5329,3684,973,673,1646,4258,371714,2478095
2000,2001,1/26/1982,St. Thomas the Apostle,,0,,,1,0,,,,17,2,2,1,22,,,,,,,,,,13,12,,1,0,0,,,,0,,,0,0,,,,,,,,3,,0,0,,,,,,,,,,,0,0,0,1,0,0,1,,,,,,,,,,,,,,,1,,,,,,1078,3,,1029,,381,24,405,191,85800,
2000,2001,,"St. Thomas, Virgin Islands",,0,,,1,0,1,,,7,2,,,9,5,1,1,,,1,22,3,19,8,6,2,,0,0,,,,0,2,,0,0,,,,,,,,,,0,0,,,,,4,808,,,,,0,0,0,3,0,0,3,,,2,240,,,3,558,,,,,297,720,1818,,,1,3,64,347,16,13,290,189,75,34,109,153,30000,110000
2000,2001,8/8/1956,Stamford-Ukrainian,,0,,,1,0,,,,20,,,10,30,12,30,,,2,,5,5,38,51,40,5,6,0,0,,,,0,4,1,0,0,,,,,,,,1,28,0,0,1,44,,,2,250,,,,,1,,28,1,0,0,1,,,1,165,,,3,331,,,,,359,795,1651,6,,,4,29,213,3,5,168,219,50,10,60,350,15501,
2000,2001,1/1/1944,Steubenville,,0,,,1,0,1,,,54,10,,47,111,18,24,3,,1,,7,8,82,73,71,2,,0,0,,,,0,3,,0,0,,,,2,256232,,,1,87,0,0,,,,,1,14788,1,55,,,0,0,0,8,0,0,8,1,2154,3,733,,,14,2685,14,2685,,,755,2778,9113,4,,,13,255,596,239,119,818,904,168,153,321,776,40541,522531
