Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,Pr:D,Pr:R,ExtPrDio,Pr:Tot,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1998,1999,8/29/1956,Kansas City-St. Joseph,0,,0,,1,,1,1,2,79,3,2,47,131,106,1,,,,3,,59,38,329,84,61,18,,1,,1,2,,,14,0,,,1,17,119,3,204563,,,14,1072,,,11,261,,,2,24000,1,25,,,,,,10,1,24,34,2,4046,4,1452,3,1764,33,13001,1,343,,,736,8111,29487,5,,2,22,828,2506,470,319,2620,1776,501,524,1025,1310,156870,1299555
1998,1999,9/8/1988,Knoxville,0,,0,,0,,,0,,37,1,,7,45,18,11,,1,,6,,24,15,51,43,29,6,8,,,,1,,,2,2,,,1,7,46,2,317928,1,103,1,277,,,,,1,431,6,26906,,,,,,,,19,,,19,,,2,963,,,8,2588,,,,,1443,4010,9023,3,,1,8,232,715,142,248,993,754,103,170,273,319,43765,2012885
1998,1999,,La Crosse,0,,0,,1,,1,0,1,120,13,3,61,197,32,13,,6,,,,24,6,499,173,104,5,52,1,,8,1,,,0,2,3,9,,8,32,9,313596,,,12,776,,,2,280,3,6347,2,1250,3,175,,,1,5,3,36,,,41,1,1800,7,1862,,,78,10400,,,,,8536,16688,39327,5,,,18,686,3007,154,369,3332,3435,829,482,1309,2219,219358,824206
1998,1999,10/21/1944,"Lafayette, IN",0,,0,,1,,,0,,82,19,,19,120,19,2,,,,,,4,2,81,62,51,4,7,,,,,,,2,0,,,,16,82,4,589944,,,2,307,,,,,,,,,,,,,,,,3,,,3,3,6311,1,374,,,21,4280,,,,,3896,8856,23720,,,,,235,1787,296,501,1950,1380,295,305,600,795,97662,1115156
1998,1999,1/11/1918,"Lafayette, LA",0,,0,,1,,1,0,,114,4,1,39,158,55,9,,2,,2,,47,31,173,121,85,22,5,1,1,3,,,1,35,,,,,,,1,81000,1,16000,5,1200,,,,,6,1050,6,180000,,,,,,,,34,1,10,44,,,9,3708,1,141,29,10443,2,692,,,13585,24524,53137,,,2,21,895,5497,148,556,4125,4185,1393,226,1619,3338,336746,559055
1998,1999,4/25/1980,Lake Charles,0,,0,,1,,,0,,40,2,,6,48,17,9,,2,,,,25,2,27,36,24,12,,,,,,,,25,0,,,2,7,83,1,104497,,,,,,,1,57,,,1,3174,,,,,,,,7,,,7,,,1,576,,,8,3047,,,,,3771,5859,13260,,,,1,208,1528,129,173,1385,1115,337,126,463,875,84908,259425
1998,1999,5/22/1937,Lansing,0,,0,,1,,1,0,,103,10,,43,156,31,14,,3,,3,,56,13,410,95,77,7,2,,,7,2,,,,2,1,,2,33,154,3,1308918,4,410,3,399,,,1,100,4,279,14,232210,1,70,,,,,,28,,,28,1,3753,4,2375,1,140,38,10089,4,658,,,3125,20419,40587,8,,1,20,647,4049,763,927,4916,3586,909,698,1607,2017,210878,1695979
1998,1999,10/18/1982,Las Cruces,0,,0,,1,,,0,,18,2,,6,26,48,8,,,,1,,23,4,73,44,15,20,7,1,,1,,,,45,2,,,3,5,15,,,3,24237,,,,,3,216,,,1,2500,,,,,,,,2,,,2,,,,,,,4,542,,,,,2767,7837,11148,,,,1,46,2911,91,90,2337,1264,409,82,491,1083,136499,474499
1998,1999,3/21/1995,Las Vegas,0,,0,,1,,,0,,26,1,,5,32,17,29,,,,,,7,5,42,24,15,5,3,,,1,,,,9,0,1,,1,2,41,1,90426,,,,,,,1,30000,,,10,587487,,,1,,,,,4,,,4,,,1,1100,,,6,2331,,,,,2392,8687,14514,2,,2,3,166,4137,315,391,2686,1065,492,147,639,682,390000,1300000
1998,1999,3/2/1988,Lexington,0,,0,,1,,,0,,38,1,,11,50,21,4,,2,,,,30,3,176,60,36,6,6,1,1,,1,9,,6,0,,,3,26,15,6,636355,4,75310,1,82,,,3,98,,,1,8512,,,,,,,,5,,,5,,,1,791,2,104,14,3271,1,192,,,768,2653,7784,2,,,19,240,732,137,308,1102,716,120,191,311,225,41977,1444148
