Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abbts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,TotPr,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwResPstr:Tot,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,PrshwoResPrTot,Ms,PstrCenter,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,Coll/Univ:AvgEnroll,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnts,HS:D/Prsh/Prvt,"HS:D/Prsh/Prvt,TotEnroll",HS:AvgEnroll,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,ElSch:D/Prsh/Prvt,ElSch:D/Prsh/PrvtTotEnroll,ElSch:AvgEnroll,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Scholastics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Convrt,TotBapt,Mar,Dth,TotCath,TotPop
1997,1998,,St. Paul and Minneapolis (Archdiocese),0,,1,1,1,1,1,0,,235,12,4,99,350,148,35,498,7,,,9,170,55,1093,222,180,28,208,14,,,,,,14,5,4,3,83,508,3,141444,,,4,693,1,4000,,,4,,5,,,,,,2,104,159,,,,104,3,15288,5096,7,4498,4,2380,11,6878,625.2727273,88,27375,1,261,89,27636,310.5168539,,,21618,64230,135754,2,,11,91,2375,11606,416,1267,11725,7413,0,0,3771,4865,747660,2720413
1997,1998,6/17/1968,St. Petersburg,0,,0,,1,,2,0,1,98,8,,24,130,147,66,277,3,,,20,86,49,359,72,62,10,72,,,,,,,0,5,0,,,0,2,2343257,7,39007,7,1592,,,13,1456,3,1219,8,14981,,,,,,,,13,,,13,1,7124,7124,3,1927,2,989,5,2916,583.2,40,11006,4,1298,44,12304,279.6363636,2,141,2380,19479,44357,13,1,4,61,831,4451,713,592,5016,3417,0,0,1978,4325,354699,2364659
1997,1998,1/26/1982,St. Thomas the Apostle,,,,,1,,,,,15,2,,2,19,,,19,,,,,,,,12,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,3,,3,,,6,,,,,,,,,,,,,,,,,,,,,,6,,,,,,989,17,,851,1006,,,390,156,65000,
1997,1998,8/8/1956,Stamford-Ukrainian,,,,,1,,,,,24,,,11,35,17,28,52,,,2,,4,5,42,49,,,,,,,,,,,4,2,,,,,,,,1,28,,,1,44,,,1,45,,,,,1,,59,1,,,1,,,,1,140,,,1,140,140,4,364,,,4,364,91,,,19,720,1244,,,,7,28,181,9,3,158,171,,,100,385,16399,
1997,1998,1/1/1944,Steubenville,0,,0,,1,,1,0,,65,13,,45,123,26,5,149,,,,1,5,8,84,75,73,1,74,1,,,,,,1,3,0,2,4,13,2,232712,,,1,87,,,,,,,1,5800,1,50,,,,,,7,,,7,1,1997,1997,3,709,,,3,709,236.3333333,15,2823,,,15,2823,188.2,,,887,2906,9329,,,,6,195,681,345,1026,847,1198,0,0,389,818,47122,526097
1997,1998,1/13/1962,Stockton,0,,0,,1,,,0,,42,1,,15,58,22,11,80,1,,,,26,4,0,32,21,4,25,7,,,,,,7,8,2,1,19,47,3,322514,,,2,283,,,,,,,1,25000,,,,,,,,10,,,10,,,,2,1354,,,2,1354,677,12,3395,,,12,3395,282.9166667,,,927,11816,17502,4,,2,5,139,4303,530,538,3130,1913,0,0,933,1357,180678,1051540
1997,1998,5/3/1905,Superior,0,,0,,1,,,0,,50,4,,26,80,14,1,94,3,,,1,40,2,125,115,48,9,57,50,3,,2,3,,58,0,2,,9,13,5,105263,,,2,350,,,4,200,,,4,4300,15,2450,10,2500,,,,10,,,10,,,,,,,,,,,18,3082,,,18,3082,171.2222222,,,3932,8874,15898,,,1,13,194,1090,229,146,1483,1116,0,0,535,1266,88575,387290
1997,1998,,Syracuse,0,,0,,1,1,1,0,,224,20,,53,297,44,,341,1,,2,,62,18,497,175,165,7,172,3,,,,,,3,18,0,18,497,0,3,650000,,,52,,,,1,99,7,401,8,56616,16,562,2,344,,,,19,1,13,32,1,2915,2915,5,2113,1,482,6,2595,432.5,43,10554,1,244,44,10798,245.4090909,,,8500,39500,64340,4,,3,86,900,5691,309,646,5514,4081,0,0,2263,4282,372665,1223591
1997,1998,4/15/1910,Toledo,0,,0,,1,1,1,0,,147,9,2,60,218,57,6,275,4,,1,5,194,9,772,163,104,12,116,35,4,,8,,,47,0,0,,,0,8,820465,2,424,3,456,1,75,,,,,13,8200,,,,,,,,15,,,15,2,1838,919,10,3993,4,2884,14,6877,491.2142857,84,22197,3,525,87,22722,261.1724138,,,3032,16583,51067,26,,,107,1582,4479,,702,4711,4127,0,0,2024,3037,327921,1479041
1997,1998,,Trenton,0,,0,,1,,1,0,,163,15,,57,235,72,48,307,1,,1,8,225,61,487,128,107,16,123,5,,,,,,5,15,0,,,0,1,143858,1,3759,1,180,9,20,2,246,13,13000,13,23000,,,1,5434,,,,18,,,18,4,2422,605.5,8,6363,3,1104,11,7467,678.8181818,59,21126,2,462,61,21588,353.9016393,1,20,705,58584,90804,,,,,,10719,414,931,11175,9278,0,0,5887,6437,701557,1763249
