Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2007,2008,4/6/1957,NY,Rockville Centre,,,,,1,3,2,,,226,11,1,122,360,53,413,88,3,,3,12,257,88,1198,133,130,4,0,0,0,0,0,0,,1,,,,7,117,428,5,515294,3,27909,3,1934,3,271,,,10,1388,30,44543,20,212,110,80541,1,25,9,3,,,28,1,3533,5,5128,6,7693,53,20403,5,1087,1,67,200,120000,158139,14,,51,75,2062,18069,,669,345,19393,18484,3554,461,4015,12113,1439510,3383435
2007,2008,,CA,Sacramento,,,,,1,1,1,1,1,115,6,,55,176,77,253,30,9,,4,,128,28,179,103,88,10,0,3,0,0,0,0,,42,3,2,,1,18,79,6,543327,,,1,118,1,30,2,88,1,29,11,155507,,,,,,,,31,2,7,38,1,139,9,4674,5,2774,44,10678,1,12,,,1634,17136,37085,18,,,12,1015,9750,504,439,1138,7375,4727,1037,238,1275,2828,557668,3474587
2007,2008,2/26/1938,MI,Saginaw,,,,,1,0,,,,56,1,,37,94,8,102,7,2,,5,1,15,1,103,106,55,5,22,2,1,18,3,0,,,,,,1,34,22,1,329263,1,1340,1,153,4,300,4,308,3,158,1,1530,,,1,4680,,,,23,,,23,,,3,742,,,23,3059,,,,,1110,6863,11797,1,,,3,265,1250,90,95,215,1515,1595,329,226,555,1715,119086,718815
2007,2008,,KS,Salina,,,,,1,0,1,,,38,1,,21,60,10,70,6,,,,,1,1,159,88,36,3,37,0,0,5,7,0,,,,,,,12,41,,,,,4,338,,,,,,,,,,,,,,,,8,,,8,,,5,511,1,230,11,1740,,,,,1599,4302,8390,3,,,2,224,927,123,94,137,744,757,240,179,419,666,48527,310240
2007,2008,,UT,Salt Lake City,,,,,1,0,,1,2,43,2,,14,59,25,84,10,2,,,,60,10,43,48,34,9,3,1,0,0,1,0,,19,,,,,4,32,,,,,1,1100,,,4,182,,,3,409200,,,,,,,,9,,,9,,,3,1802,,,12,3868,,,,,1404,7740,14823,3,,,1,333,3594,723,320,358,2957,1921,370,216,586,568,230000,2550063
2007,2008,10/16/1961,TX,San Angelo,,,,,1,0,,,,44,2,,5,51,10,61,,,,,,59,,15,49,34,4,9,1,0,1,0,0,,23,,,,,,13,,,,,,,,,,,,,,,,,,,,,,9,,,9,,,,,,,3,804,,,,,4841,7981,13635,,,,,70,1673,247,99,173,20344,1444,287,92,379,681,83342,691088
2007,2008,,TX,San Antonio,,,1,1,,1,2,,,94,11,,36,141,197,338,46,1,1,1,28,339,84,752,139,93,41,4,0,0,0,0,0,2,34,,,,3,27,159,3,220000,5,,9,649,3,421,20,,5,,10,402665,,,1,130,1,25,66,2,7,30,57,4,12832,4,120,5,2388,33,9814,3,1294,,,11004,32923,70432,33,4,14,71,1564,1008,726,405,747,8479,5619,1692,381,2073,4613,687788,2171851
2007,2008,11/6/1978,CA,San Bernardino,,,,,1,1,1,1,,96,2,,15,113,125,238,32,2,,2,8,106,18,154,94,45,26,11,1,0,5,6,0,,12,,,1,,13,240,2,185229,1,1200,1,150,,,,,,,17,75000,,,,,1,12,,16,,,28,,,2,952,1,125,30,3686,1,470,,,14059,37463,59483,2,,,19,449,1042,641,363,3636,12832,5018,1732,200,1932,2673,1217891,4059638
2007,2008,7/11/1936,CA,San Diego,,,,,1,1,,1,,108,3,,68,179,68,247,57,1,1,,9,118,22,290,98,86,9,3,1,0,0,0,0,,16,1,,1,22,290,,2,30806,1,45900,3,425,3,429,1,594,5,11000,30,158000,1,45,3,8700,1,7,,4,,,11,2,7568,3,2746,2,1469,43,12707,2,698,1,265,7054,38674,71192,9,,,39,1494,10189,447,109,466,8182,4515,1431,398,1829,2645,981087,3108835
2007,2008,,CA,San Francisco,,1,1,1,2,1,,,,114,6,1,87,208,192,400,63,3,,2,,80,35,777,90,74,16,0,0,0,0,0,0,,11,21,,,2,47,418,3,568365,4,288408,6,3400,2,500,2,300,19,5700,21,16432,8,500,4,1500,1,13,78,6,1,,19,3,12177,4,3646,10,4670,55,15684,7,1776,,,2158,9961,50091,8,,5,54,1608,6548,302,244,570,4323,3295,959,275,1234,2552,382500,1698282
