Year,Year_OCD,Diocese,Cd,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Priests: Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Tm,PrshwoResPstr:Lay,Ms,PstrCenter,Completely Vacant,NewPrshCreat,Clsd Prsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcss,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,TColl/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop,,,,,,,,,,,,,
1995,1996,Colorado Springs,,,,1,,,,,23,1,,10,34,20,7,,,,,19,3,150,30,15,8,3,2,,,,2,8,,,,,,2,34,3,265000,2,113,2,103,,,,,,,,,,,,,,,,7,,,7,,,,,,,4,1179,,,,,2455,5144,,,,,1,73,1381,91,311,1243,644,176,155,331,378,84889,593176,,,,,,,,,,,,,
1995,1996,Columbus,,,,1,,2,,,142,13,48,,203,52,14,4,,,,50,11,424,108,94,8,5,,,1,,,8,,,1,3,1,32,64,4,276579,,,16,692,,,2,283,2,1353,19,370732,,,,,1,6,68,4,,6,16,1,1736,11,4826,,,44,13680,1,207,,,1922,13199,35586,2,,,24,818,3474,453,656,3687,3099,574,711,1285,1513,214215,2188842,,,,,,,,,,,,,
1995,1996,Corpus Christi,,,,1,1,,1,1,84,7,1,20,112,64,7,2,2,3,3,65,21,266,84,53,18,11,2,,,,,59,11,,,,6,24,28,4,283382,,,2,154,1,64,3,185,2,1040,8,34783,1,5,2,250,1,7,17,,1,2,26,,,2,671,1,315,23,3874,5,1394,,,4981,15413,26674,6,,,71,365,5718,215,727,5042,6722,1152,184,1336,2409,351500,781250,,,,,,,,,,,,,
1995,1996,Covington,,,,,,1,,,71,5,,40,116,1,,1,,,11,13,8,480,51,46,,2,,,3,,,5,,,,,1,10,31,2,204900,,,4,596,2,80,1,88,,,2,16000,,,1,5512,,,,7,,,7,1,1426,7,2340,2,775,30,7820,2,462,,,427,3505,16762,2,,1,68,622,1478,160,163,1528,1346,369,218,587,791,76867,401127,,,,,,,,,,,,,
1995,1996,Crookston,,,,1,,,,,29,3,1,16,49,7,5,,,2,,5,1,202,76,26,7,40,,,3,,,,1,,,,1,11,16,3,54172,,,3,353,,,,,,,,,,,,,,,,6,,,6,,,1,139,,,8,1175,1,103,,,3066,3939,8428,,,,7,99,688,23,94,598,666,137,178,315,452,42012,236100,,,,,,,,,,,,,
1995,1996,Dallas,,,,1,,1,1,,78,5,,18,101,77,20,3,,4,,124,8,148,63,54,9,,,,,,,7,,,2,,,21,82,1,49039,,,1,45,,,5,840,,,17,61350,,,,,1,13,21,,,,34,1,2747,3,1233,3,1624,32,10584,1,181,1,97,4263,25268,46031,13,2,4,23,819,9814,680,575,6606,3924,1068,767,1835,1335,319631,2678590,,,,,,,,,,,,,
1995,1996,Davenport,,,,1,,1,,,103,8,1,41,153,8,3,1,,,,51,2,259,104,68,5,29,,,,,2,,1,,,1,1,12,1,3,248978,,,3,459,,,,,,,,,,,,,1,6,,6,,,12,2,3158,7,1586,,,40,5359,,,,,3200,9600,22915,26,,,32,616,1635,233,213,2287,1808,396,445,841,1204,106661,707123,,,,,,,,,,,,,
1995,1996,Denver (Archdiocese),,1,1,,,,1,,113,10,,35,158,123,13,2,,1,,125,31,483,112,88,17,5,,,,,1,38,,,,,3,46,272,4,686644,2,606,9,606,1,70,25,1800,1,5,24,302731,2,13,1,2500,,,,29,2,17,46,1,9507,2,605,3,1834,37,11307,1,465,,,3369,23885,51018,18,1,6,34,731,8046,1227,1175,6111,3854,1373,886,2259,2259,340875,2513993,,,,,,,,,,,,,
1995,1996,Des Moines,,,,1,,,,,87,5,1,24,117,7,3,2,,2,53,,4,140,87,61,1,24,1,,,,,2,5,,,,,12,31,3,236884,,,1,150,,,,,,,3,31402,,,,,,,,10,,,10,,,2,1360,,,15,4562,,,,,2741,9483,18156,6,,1,14,370,1786,307,371,1749,1613,340,385,725,628,97827,671091,,,,,,,,,,,,,
1995,1996,Detroit (Archdiocese),1,,,,4,1,,,370,8,1,138,517,242,28,7,1,2,,147,72,1252,306,265,41,,,,,,,4,6,,1,1,6,150,424,11,1519161,8,9376,13,1805,8,1514,2,465,8,1844,11,14822,1,118,,,2,41,78,7,2,13,61,4,15771,18,5904,17,8104,133,39036,6,1011,,,7424,72042,149353,35,,24,194,2554,17265,1341,1795,14864,11734,4630,2021,6651,10316,1413105,4266654,,,,,,,,,,,,,
