Year,Year_OCD,Year established,Diocese,ST,Cd,Cd:Ret,ABp,ABp:Ret,Bp,Bp:Ret,AuxBp,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,DStdntOthSem,StdntOthDio,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Br,Tchrs:Schlstics,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2010,2011,1/11/1918,"Lafayette, LA",LA,,,,,1,,,,,112,1,1,46,160,46,206,8,3,,1,,71,18,152,121,82,17,19,3,,,,,,29,,,,,4,56,1,86911,,,32,4112,,,,,15,7778,6,73112,,,,,,,28,,1,11,39,,,9,3490,1,115,30,10506,2,743,,,6429,13780,35102,,,,2,998,3885,116,86,315,3914,2898,924,143,1067,3306,307991,568154
2010,2011,4/25/1980,Lake Charles,LA,,,,,1,1,,,,31,2,,13,46,14,60,6,1,,2,,26,1,16,38,28,7,3,,7,,,,,8,,,,1,3,70,1,81969,,,1,118,,,3,97,,,3,5672,,,,,,,9,,,2,11,2,11541,1,647,,,7,2015,,,,,1930,5082,21226,,,,1,333,1059,,62,149,894,750,201,78,279,917,75441,285745
2010,2011,5/22/1937,Lansing,MI,,,,,1,1,,,,87,11,,54,152,42,194,20,4,,4,,93,3,352,84,62,8,11,,,2,1,,,,2,,2,,43,300,5,2691557,6,25297,3,405,,,1,100,3,173,10,301306,1,60,,,,,32,,,,32,1,2365,4,2001,,,29,7006,2,308,,,2795,16755,31262,2,,,1,642,2299,240,254,526,3380,3046,438,293,731,1944,207977,1783648
2010,2011,7/3/2000,Laredo,TX,,,,,1,,,,,28,,,3,31,21,52,9,,,1,,32,7,66,32,22,10,,,,,,,,17,,,,4,17,12,,,,,,,1,45,,,1,600,2,150675,,,1,417,,,6,,,,6,,,1,410,,,5,1603,1,500,,,4208,8829,15556,2,2,,11,145,2770,170,64,41,2995,1618,374,9,383,1013,289415,340841
2010,2011,10/18/1982,Las Cruces,NM,,,,,1,,,,,23,,,10,33,45,78,8,1,,,,38,3,41,45,17,18,7,3,,,,,,46,1,,,2,6,23,,,,,,,,,1,50,,,,,,,,,,,5,,,,5,,,,,,,5,591,,,,,2758,6517,9871,,,,,62,2088,157,67,85,1969,1514,336,22,358,1064,132646,498308
2010,2011,3/21/1995,Las Vegas,NV,,,,,1,,,,,21,2,,14,37,19,56,32,,,,,13,4,3,28,11,3,14,,,,,,,6,,,,4,3,33,,,,,,,,,,,,,24,7200000,,,1,3987,,,8,,,,8,,,1,1184,,,7,2719,,,,,3313,9141,16365,2,,,,222,6180,278,183,220,4327,1939,403,121,524,872,574000,1960000
2010,2011,3/2/1988,Lexington,KY,,,,,1,1,,,,35,3,,14,52,22,74,,2,,1,,54,3,75,49,24,14,,2,1,7,1,,,14,,,1,,23,35,11,1240428,4,55000,1,209,1,8000,,,,,1,8000,,,,,,,7,,,,7,,,1,827,1,94,14,3027,1,115,,,570,3212,7852,2,,,8,353,841,69,79,169,935,869,99,77,176,239,44828,1567853
2010,2011,,Lincoln,NE,,,,,1,,,,,123,7,,18,148,10,158,2,4,6,3,,3,,141,133,82,1,50,,,,,,,2,6,,,,141,2,3,163536,,,3,274,,,1,45,,,23,27559,1,13,1,3194,1,25,16,17,1,73,114,,,6,1741,,,27,5926,,,1,13,2015,5090,14899,31,,,35,419,1126,279,126,175,1586,1555,310,164,474,832,95584,580826
2010,2011,,Little Rock,AR,,,,,1,1,,1,,56,1,,16,73,38,111,26,5,,,,57,24,178,89,55,14,19,1,,,,,,38,1,1,,,7,74,12,936407,5,24625,28,1024,,,26,1271,1,147,5,37802,,,9,26423,,,35,,,,35,,,4,1047,2,654,28,5409,,,,,2035,9563,18743,4,1,,10,579,2564,201,186,475,2669,1797,359,215,574,839,131976,2889450
2010,2011,,Los Angeles,CA,,1,1,,,1,6,1,1,332,11,,186,529,536,1065,123,3,6,10,14,314,89,1897,287,173,59,37,1,,2,4,11,,9,15,,,11,120,638,14,2500329,5,9305,9,2628,2,650,16,735,1,92,35,318309,6,823,4,300,1,38,,36,11,12,50,4,12427,26,14842,25,13189,210,49482,9,2358,,,39171,84135,215654,22,17,2,113,4246,80630,2667,1434,6044,43457,25041,6494,1258,7752,11037,4208660,11720274
2010,2011,,Louisville,KY,,,1,1,,,,1,2,83,4,1,52,140,45,185,1,2,,1,14,129,53,621,102,78,6,13,4,,,1,,,9,,,,1,15,172,2,222560,1,6899,3,1000,2,300,6,300,,,7,40500,,,,,,,16,,,,16,3,6049,4,2182,5,3981,36,13579,3,554,1,65,821,5505,32752,4,2,,22,1873,2218,208,205,480,2438,2478,446,240,686,1691,192490,1341120
